"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"DDD","3D Systems Corporation","4.79","$580.24M","n/a","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/ddd",
"MMM","3M Company","161.66","$93.12B","n/a","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/mmm",
"WBAI","500.com Limited","2.94","$126.42M","2013","Consumer Services","Services-Misc. Amusement & Recreation","https://old.nasdaq.com/symbol/wbai",
"EGHT","8x8 Inc","15.71","$1.64B","n/a","Technology","EDP Services","https://old.nasdaq.com/symbol/eght",
"AHC","A.H. Belo Corporation","1.39","$33.19M","n/a","Consumer Services","Newspapers/Magazines","https://old.nasdaq.com/symbol/ahc",
"AOS","A.O Smith Corporation","53.29","$8.6B","n/a","Consumer Durables","Consumer Electronics/Appliances","https://old.nasdaq.com/symbol/aos",
"ATEN","A10 Networks, Inc.","6.69","$521.34M","2014","Technology","Computer Communications Equipment","https://old.nasdaq.com/symbol/aten",
"AIR","AAR Corp.","19.86","$701.07M","n/a","Capital Goods","Aerospace","https://old.nasdaq.com/symbol/air",
"AAN","Aaron&#39;s,  Inc.","57.84","$3.88B","n/a","Technology","Diversified Commercial Services","https://old.nasdaq.com/symbol/aan",
"ABB","ABB Ltd","25.39","$54.04B","n/a","Consumer Durables","Electrical Products","https://old.nasdaq.com/symbol/abb",
"ABT","Abbott Laboratories","104.44","$184.91B","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/abt",
"ABBV","AbbVie Inc.","87.28","$154.03B","2012","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/abbv",
"ANF","Abercrombie & Fitch Company","14.76","$920.63M","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","https://old.nasdaq.com/symbol/anf",
"AGD","Aberdeen Global Dynamic Dividend Fund","9.1","$114.2M","2006","n/a","n/a","https://old.nasdaq.com/symbol/agd",
"AWP","Aberdeen Global Premier Properties Fund","4.64","$396.29M","2007","n/a","n/a","https://old.nasdaq.com/symbol/awp",
"ACP","Aberdeen Income Credit Strategies Fund","9.76","$170.14M","2011","n/a","n/a","https://old.nasdaq.com/symbol/acp",
"JEQ","Aberdeen Japan Equity Fund, Inc. ","8.3","$111.29M","1992","n/a","n/a","https://old.nasdaq.com/symbol/jeq",
"ASGI","Aberdeen Standard Global Infrastructure Income Fund","17.53","n/a","2020","n/a","n/a","https://old.nasdaq.com/symbol/asgi",
"AOD","Aberdeen Total Dynamic Dividend Fund","7.87","$829.74M","2007","n/a","n/a","https://old.nasdaq.com/symbol/aod",
"ABM","ABM Industries Incorporated","37.46","$2.5B","n/a","Finance","Diversified Commercial Services","https://old.nasdaq.com/symbol/abm",
"AKR","Acadia Realty Trust","10.53","$908.37M","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/akr",
"ACEL","Accel Entertainment, Inc.","11.16","$977.05M","2017","Consumer Services","Services-Misc. Amusement & Recreation","https://old.nasdaq.com/symbol/acel",
"ACN","Accenture plc","222.78","$141.67B","2001","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/acn",
"ACCO","Acco Brands Corporation","6.09","$575.27M","n/a","Consumer Durables","Publishing","https://old.nasdaq.com/symbol/acco",
"ATV","Acorn International, Inc.","14.32","$36.96M","2007","Consumer Services","Other Specialty Stores","https://old.nasdaq.com/symbol/atv",
"AYI","Acuity Brands, Inc. ","101.55","$4.03B","n/a","Consumer Durables","Building Products","https://old.nasdaq.com/symbol/ayi",
"GOLF","Acushnet Holdings Corp.","33.1","$2.46B","2016","Consumer Non-Durables","Recreational Products/Toys","https://old.nasdaq.com/symbol/golf",
"ADX","Adams Diversified Equity Fund, Inc.","16.09","$1.75B","n/a","n/a","n/a","https://old.nasdaq.com/symbol/adx",
"PEO","Adams Natural Resources Fund, Inc.","9.95","$296.29M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/peo",
"ADCT","ADC Therapeutics SA","33","$2.33B","2020","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/adct",
"AGRO","Adecoagro S.A.","4.66","$549.09M","2011","Consumer Non-Durables","Farming/Seeds/Milling","https://old.nasdaq.com/symbol/agro",
"ADNT","Adient plc","17.16","$1.61B","2016","Capital Goods","Auto Parts:O.E.M.","https://old.nasdaq.com/symbol/adnt",
"ADT","ADT Inc.","8.42","$6.95B","2018","Consumer Services","Diversified Commercial Services","https://old.nasdaq.com/symbol/adt",
"ATGE","Adtalem Global Education Inc.","25.23","$1.31B","n/a","Consumer Services","Other Consumer Services","https://old.nasdaq.com/symbol/atge",
"AAP","Advance Auto Parts Inc","153.39","$10.61B","n/a","Consumer Services","Other Specialty Stores","https://old.nasdaq.com/symbol/aap",
"ADSW","Advanced Disposal Services, Inc.","30.21","$2.74B","2016","Public Utilities","Environmental Services","https://old.nasdaq.com/symbol/adsw",
"WMS","Advanced Drainage Systems, Inc.","60.37","$4.2B","2014","Capital Goods","Containers/Packaging","https://old.nasdaq.com/symbol/wms",
"ASIX","AdvanSix Inc.","12.63","$354.02M","2016","Basic Industries","Major Chemicals","https://old.nasdaq.com/symbol/asix",
"AVK","Advent Convertible and Income Fund","13.73","$474.03M","2003","n/a","n/a","https://old.nasdaq.com/symbol/avk",
"ACM","AECOM","40.91","$6.56B","2007","Consumer Services","Military/Government/Technical","https://old.nasdaq.com/symbol/acm",
"AEFC","Aegon Funding Company LLC","25.71","n/a","2019","Finance","Life Insurance","https://old.nasdaq.com/symbol/aefc",
"AEB","Aegon NV","25.05","n/a","n/a","Finance","Life Insurance","https://old.nasdaq.com/symbol/aeb",
"AEG","Aegon NV","2.53","$5.19B","n/a","Finance","Life Insurance","https://old.nasdaq.com/symbol/aeg",
"AER","Aercap Holdings N.V.","25.51","$3.31B","2006","Technology","Diversified Commercial Services","https://old.nasdaq.com/symbol/aer",
"AJRD","Aerojet Rocketdyne Holdings, Inc. ","41.15","$3.24B","n/a","Capital Goods","Military/Government/Technical","https://old.nasdaq.com/symbol/ajrd",
"AMG","Affiliated Managers Group, Inc.","68.05","$3.17B","n/a","Finance","Investment Managers","https://old.nasdaq.com/symbol/amg",
"MGR","Affiliated Managers Group, Inc.","27.37","n/a","2019","Finance","Investment Managers","https://old.nasdaq.com/symbol/mgr",
"AFL","Aflac Incorporated","36.33","$25.9B","n/a","Finance","Accident &Health Insurance","https://old.nasdaq.com/symbol/afl",
"MITT","AG Mortgage Investment Trust, Inc.","2.86","$97.91M","2011","n/a","n/a","https://old.nasdaq.com/symbol/mitt",
"MITT^A","AG Mortgage Investment Trust, Inc.","14.38","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/mitt^a",
"MITT^B","AG Mortgage Investment Trust, Inc.","14.1","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/mitt^b",
"MITT^C","AG Mortgage Investment Trust, Inc.","14.1","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/mitt^c",
"AGCO","AGCO Corporation","72.9","$5.46B","n/a","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/agco",
"A","Agilent Technologies, Inc.","99.51","$30.68B","1999","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://old.nasdaq.com/symbol/a",
"AEM","Agnico Eagle Mines Limited","78.28","$18.91B","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/aem",
"ADC","Agree Realty Corporation","64.33","$3.46B","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/adc",
"AL","Air Lease Corporation","29.85","$3.4B","2011","Technology","Diversified Commercial Services","https://old.nasdaq.com/symbol/al",
"AL^A","Air Lease Corporation","24.15","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/al^a",
"APD","Air Products and Chemicals, Inc.","292.67","$64.65B","n/a","Basic Industries","Major Chemicals","https://old.nasdaq.com/symbol/apd",
"ALP^Q","Alabama Power Company","27.92","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/alp^q",
"ALG","Alamo Group, Inc.","105.15","$1.25B","n/a","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/alg",
"AGI","Alamos Gold Inc.","8.85","$3.46B","2015","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/agi",
"ALK","Alaska Air Group, Inc.","37.54","$4.64B","n/a","Transportation","Air Freight/Delivery Services","https://old.nasdaq.com/symbol/alk",
"AIN","Albany International Corporation","50.83","$1.64B","n/a","Basic Industries","Textiles","https://old.nasdaq.com/symbol/ain",
"ALB","Albemarle Corporation","84.84","$9.02B","n/a","Basic Industries","Major Chemicals","https://old.nasdaq.com/symbol/alb",
"ACI","Albertsons Companies, Inc.","13.61","$6.43B","2020","Consumer Services","Food Chains","https://old.nasdaq.com/symbol/aci",
"AA","Alcoa Corporation","12.24","$2.28B","2016","Basic Industries","Aluminum","https://old.nasdaq.com/symbol/aa",
"ALC","Alcon Inc.","56.8","$27.78B","2019","Health Care","Ophthalmic Goods","https://old.nasdaq.com/symbol/alc",
"ALEX","Alexander & Baldwin, Inc.","11.19","$809.58M","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/alex",
"ALX","Alexander&#39;s, Inc.","251.2","$1.28B","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/alx",
"ARE","Alexandria Real Estate Equities, Inc.","161.35","$20.35B","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/are",
"AQN","Algonquin Power & Utilities Corp.","14.36","$8.51B","2016","Public Utilities","Electric Utilities: Central","https://old.nasdaq.com/symbol/aqn",
"AQNA","Algonquin Power & Utilities Corp.","28.3","n/a","2018","Public Utilities","Electric Utilities: Central","https://old.nasdaq.com/symbol/aqna",
"AQNB","Algonquin Power & Utilities Corp.","28.03","n/a","2019","Public Utilities","Electric Utilities: Central","https://old.nasdaq.com/symbol/aqnb",
"BABA","Alibaba Group Holding Limited","276.01","$746.78B","2014","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/baba",
"Y","Alleghany Corporation","517.86","$7.41B","n/a","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/y",
"ATI","Allegheny Technologies Incorporated","9.29","$1.18B","n/a","Basic Industries","Steel/Iron Ore","https://old.nasdaq.com/symbol/ati",
"ALLE","Allegion plc","99.21","$9.15B","2013","Consumer Services","Diversified Commercial Services","https://old.nasdaq.com/symbol/alle",
"ALE","Allete, Inc.","52","$2.7B","n/a","Public Utilities","Power Generation","https://old.nasdaq.com/symbol/ale",
"ADS","Alliance Data Systems Corporation","43.26","$2.06B","2001","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/ads",
"AFB","Alliance National Municipal Income Fund Inc","13.9","$399.55M","2002","n/a","n/a","https://old.nasdaq.com/symbol/afb",
"AWF","Alliance World Dollar Government Fund II","10.48","$903.69M","1993","n/a","n/a","https://old.nasdaq.com/symbol/awf",
"AB","AllianceBernstein Holding L.P.","27.45","$2.64B","n/a","Finance","Investment Managers","https://old.nasdaq.com/symbol/ab",
"AIO","AllianzGI Artificial Intelligence & Tech Opp Fd","21.44","$735.89M","2019","n/a","n/a","https://old.nasdaq.com/symbol/aio",
"CBH","AllianzGI Convertible & Income 2024 Target Term Fund","8.88","$162.14M","2017","n/a","n/a","https://old.nasdaq.com/symbol/cbh",
"NCV","AllianzGI Convertible & Income Fund","4.61","$416.62M","2003","n/a","n/a","https://old.nasdaq.com/symbol/ncv",
"NCV^A","AllianzGI Convertible & Income Fund","26.27","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/ncv^a",
"NCZ","AllianzGI Convertible & Income Fund II","4.11","$312.84M","2003","n/a","n/a","https://old.nasdaq.com/symbol/ncz",
"NCZ^A","AllianzGI Convertible & Income Fund II","25.87","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/ncz^a",
"ACV","AllianzGI Diversified Income & Convertible Fund","25.31","$262.06M","2015","n/a","n/a","https://old.nasdaq.com/symbol/acv",
"NFJ","AllianzGI Dividend, Interest & Premium Strategy Fu","11.77","$1.12B","2005","Finance","Finance: Consumer Services","https://old.nasdaq.com/symbol/nfj",
"NIE","AllianzGI Equity & Convertible Income Fund","24.19","$670.28M","2007","n/a","n/a","https://old.nasdaq.com/symbol/nie",
"ALSN","Allison Transmission Holdings, Inc.","34.95","$3.96B","2012","Capital Goods","Auto Parts:O.E.M.","https://old.nasdaq.com/symbol/alsn",
"ALL","Allstate Corporation (The)","93.22","$29.11B","n/a","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/all",
"ALL^B","Allstate Corporation (The)","26.43","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/all^b",
"ALL^G","Allstate Corporation (The)","28.17","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/all^g",
"ALL^H","Allstate Corporation (The)","27.25","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/all^h",
"ALL^I","Allstate Corporation (The)","27.165","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/all^i",
"ALLY","Ally Financial Inc.","24.94","$9.32B","2014","Finance","Major Banks","https://old.nasdaq.com/symbol/ally",
"ALLY^A","Ally Financial Inc.","24.95","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/ally^a",
"PINE","Alpine Income Property Trust, Inc.","15.94","$118.84M","2019","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/pine",
"ALTG","Alta Equipment Group Inc.","8.1","$239.04M","2019","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/altg",
"ALTG.WS","Alta Equipment Group Inc.","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/altg.ws",
"ALIN^A","Altera Infrastructure L.P.","14.12","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/alin^a",
"ALIN^B","Altera Infrastructure L.P.","14.17","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/alin^b",
"ALIN^E","Altera Infrastructure L.P.","14.55","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/alin^e",
"AYX","Alteryx, Inc.","113.69","$7.52B","2017","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/ayx",
"ATUS","Altice USA, Inc.","26.54","$15.34B","2017","Consumer Services","Television Services","https://old.nasdaq.com/symbol/atus",
"MO","Altria Group","38.95","$72.38B","n/a","Consumer Non-Durables","Farming/Seeds/Milling","https://old.nasdaq.com/symbol/mo",
"ACH","Aluminum Corporation of China Limited","5.15","$3.51B","2001","Basic Industries","Aluminum","https://old.nasdaq.com/symbol/ach",
"ALUS","Alussa Energy Acquisition Corp.","10.025","$360.27M","2020","Finance","Business Services","https://old.nasdaq.com/symbol/alus",
"ALUS.U","Alussa Energy Acquisition Corp.","n/a","n/a","2019","n/a","n/a","https://old.nasdaq.com/symbol/alus.u",
"ALUS.WS","Alussa Energy Acquisition Corp.","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/alus.ws",
"AMBC","Ambac Financial Group, Inc.","12.67","$580.4M","n/a","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/ambc",
"AMBC.WS","Ambac Financial Group, Inc.","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/ambc.ws",
"ABEV","Ambev S.A.","2.23","$35.09B","2013","Consumer Non-Durables","Beverages (Production/Distribution)","https://old.nasdaq.com/symbol/abev",
"AMC","AMC Entertainment Holdings, Inc.","4.91","$536.76M","2013","Consumer Services","Movies/Entertainment","https://old.nasdaq.com/symbol/amc",
"AMCR","Amcor plc","10.91","$17.11B","2019","Consumer Durables","Miscellaneous manufacturing industries","https://old.nasdaq.com/symbol/amcr",
"AEE","Ameren Corporation","78.42","$19.38B","n/a","Public Utilities","Power Generation","https://old.nasdaq.com/symbol/aee",
"AMRC","Ameresco, Inc.","32.71","$1.56B","2010","Basic Industries","Engineering & Construction","https://old.nasdaq.com/symbol/amrc",
"AMOV","America Movil, S.A.B. de C.V.","12.04","$52.42B","n/a","Public Utilities","Telecommunications Equipment","https://old.nasdaq.com/symbol/amov",
"AMX","America Movil, S.A.B. de C.V.","12.26","$53.38B","n/a","Public Utilities","Telecommunications Equipment","https://old.nasdaq.com/symbol/amx",
"AAT","American Assets Trust, Inc.","24.48","$1.47B","2011","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/aat",
"AXL","American Axle & Manufacturing Holdings, Inc.","5.6","$634.33M","n/a","Capital Goods","Auto Parts:O.E.M.","https://old.nasdaq.com/symbol/axl",
"ACC","American Campus Communities Inc","35.04","$4.82B","2004","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/acc",
"AEO","American Eagle Outfitters, Inc.","14.84","$2.47B","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","https://old.nasdaq.com/symbol/aeo",
"AEP","American Electric Power Company, Inc.","80.65","$40.01B","n/a","Public Utilities","Electric Utilities: Central","https://old.nasdaq.com/symbol/aep",
"AEP^B","American Electric Power Company, Inc.","48.04","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/aep^b",
"AEP^C","American Electric Power Company, Inc.","48.85","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/aep^c",
"AEL","American Equity Investment Life Holding Company","21.18","$1.95B","2003","Finance","Life Insurance","https://old.nasdaq.com/symbol/ael",
"AEL^A","American Equity Investment Life Holding Company","24.08","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/ael^a",
"AEL^B","American Equity Investment Life Holding Company","25.54","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/ael^b",
"AXP","American Express Company","98.82","$79.57B","n/a","Finance","Finance: Consumer Services","https://old.nasdaq.com/symbol/axp",
"AFG","American Financial Group, Inc.","66.76","$5.91B","n/a","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/afg",
"AFGB","American Financial Group, Inc.","27.5","n/a","2019","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/afgb",
"AFGC","American Financial Group, Inc.","26.73","$26.68M","2019","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/afgc",
"AFGD","American Financial Group, Inc.","27.01","n/a","2020","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/afgd",
"AFGE","American Financial Group, Inc.","27.4","n/a","2020","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/afge",
"AFGH","American Financial Group, Inc.","25.36","n/a","2015","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/afgh",
"AMH","American Homes 4 Rent","28.68","$9.07B","2013","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/amh",
"AMH^D","American Homes 4 Rent","25.63","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/amh^d",
"AMH^E","American Homes 4 Rent","25.74","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/amh^e",
"AMH^F","American Homes 4 Rent","26.71","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/amh^f",
"AMH^G","American Homes 4 Rent","26.7","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/amh^g",
"AMH^H","American Homes 4 Rent","27.46","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/amh^h",
"AIG","American International Group, Inc.","27.63","$23.8B","n/a","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/aig",
"AIG.WS","American International Group, Inc.","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/aig.ws",
"AIG^A","American International Group, Inc.","27.32","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/aig^a",
"ARL","American Realty Investors, Inc.","8.12","$129.9M","n/a","Finance","Real Estate","https://old.nasdaq.com/symbol/arl",
"ARA","American Renal Associates Holdings, Inc","6.54","$226.33M","2016","Health Care","Misc Health and Biotechnology Services","https://old.nasdaq.com/symbol/ara",
"AWR","American States Water Company","74.33","$2.74B","n/a","Public Utilities","Water Supply","https://old.nasdaq.com/symbol/awr",
"AMT","American Tower Corporation (REIT)","240","$106.46B","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/amt",
"AVD","American Vanguard Corporation","13.35","$402.89M","n/a","Basic Industries","Agricultural Chemicals","https://old.nasdaq.com/symbol/avd",
"AWK","American Water Works","144.55","$26.19B","2008","Public Utilities","Water Supply","https://old.nasdaq.com/symbol/awk",
"AMWL","American Well Corporation","28.31","$6.51B","2020","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/amwl",
"COLD","Americold Realty Trust","36.1","$7.35B","2018","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/cold",
"AMP","AMERIPRISE FINANCIAL SERVICES, LLC","151.48","$18.22B","n/a","Finance","Investment Managers","https://old.nasdaq.com/symbol/amp",
"ABC","AmerisourceBergen Corporation (Holding Co)","97.58","$19.92B","n/a","Health Care","Other Pharmaceuticals","https://old.nasdaq.com/symbol/abc",
"AMN","AMN Healthcare Services Inc","58.28","$2.74B","n/a","Technology","Professional Services","https://old.nasdaq.com/symbol/amn",
"AMRX","Amneal Pharmaceuticals, Inc.","3.85","$568.03M","2018","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/amrx",
"AP","Ampco-Pittsburgh Corporation","3.48","$44.55M","n/a","Capital Goods","Fluid Controls","https://old.nasdaq.com/symbol/ap",
"APH","Amphenol Corporation","108.18","$32.26B","n/a","Capital Goods","Electrical Products","https://old.nasdaq.com/symbol/aph",
"AXR","AMREP Corporation","5.12","$41.63M","n/a","Consumer Services","Newspapers/Magazines","https://old.nasdaq.com/symbol/axr",
"HKIB","AMTD International Inc.","6.84","$1.68B","2019","Finance","Finance: Consumer Services","https://old.nasdaq.com/symbol/hkib",
"AME","AMTEK, Inc.","99.49","$22.85B","n/a","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/ame",
"PLAN","Anaplan, Inc.","62.8","$8.78B","2018","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/plan",
"DYFN","Angel Oak Dynamic Financial Strategies Income Term Trust","17.78","n/a","2020","n/a","n/a","https://old.nasdaq.com/symbol/dyfn",
"FINS","Angel Oak Financial Strategies Income Term Trust","16.73","$192.73M","2019","n/a","n/a","https://old.nasdaq.com/symbol/fins",
"AU","AngloGold Ashanti Limited","25.82","$10.74B","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/au",
"BUD","Anheuser-Busch Inbev SA","54.38","$107.19B","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","https://old.nasdaq.com/symbol/bud",
"NLY","Annaly Capital Management Inc","7.44","$10.44B","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/nly",
"NLY^D","Annaly Capital Management Inc","25.36","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/nly^d",
"NLY^F","Annaly Capital Management Inc","23.04","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/nly^f",
"NLY^G","Annaly Capital Management Inc","21.26","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/nly^g",
"NLY^I","Annaly Capital Management Inc","23.3","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/nly^i",
"AM","Antero Midstream Corporation","5.5","$2.62B","2017","Public Utilities","Natural Gas Distribution","https://old.nasdaq.com/symbol/am",
"AR","Antero Resources Corporation","2.96","$794.9M","2013","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/ar",
"ANTM","Anthem, Inc.","257.06","$64.65B","n/a","Health Care","Medical Specialities","https://old.nasdaq.com/symbol/antm",
"ANH","Anworth Mortgage Asset  Corporation","1.74","$172.49M","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/anh",
"ANH^A","Anworth Mortgage Asset  Corporation","24.25","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/anh^a",
"ANH^B","Anworth Mortgage Asset  Corporation","18.115","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/anh^b",
"ANH^C","Anworth Mortgage Asset  Corporation","22.1","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/anh^c",
"AON","Aon plc","203.43","$47.12B","n/a","Finance","Specialty Insurers","https://old.nasdaq.com/symbol/aon",
"AIV","Apartment Investment and Management Company","34.54","$5.14B","1994","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/aiv",
"APG","APi Group Corporation","14.27","$2.42B","2020","Basic Industries","Engineering & Construction","https://old.nasdaq.com/symbol/apg",
"ARI","Apollo Commercial Real Estate Finance","9.4","$1.39B","2009","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/ari",
"APO","Apollo Global Management, Inc","46.3","$10.61B","2011","Finance","Investment Managers","https://old.nasdaq.com/symbol/apo",
"APO^A","Apollo Global Management, Inc","26.32","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/apo^a",
"APO^B","Apollo Global Management, Inc","27.28","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/apo^b",
"AFT","Apollo Senior Floating Rate Fund Inc.","12.83","$199.8M","2011","n/a","n/a","https://old.nasdaq.com/symbol/aft",
"AIF","Apollo Tactical Income Fund Inc.","12.63","$182.68M","2013","n/a","n/a","https://old.nasdaq.com/symbol/aif",
"APLE","Apple Hospitality REIT, Inc.","9.89","$2.21B","2015","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/aple",
"AIT","Applied Industrial Technologies, Inc.","54.9","$2.13B","n/a","Consumer Durables","Industrial Specialties","https://old.nasdaq.com/symbol/ait",
"ATR","AptarGroup, Inc.","112.36","$7.24B","n/a","Consumer Non-Durables","Plastic Products","https://old.nasdaq.com/symbol/atr",
"APTV","Aptiv PLC","90.03","$24.31B","2011","Capital Goods","Auto Parts:O.E.M.","https://old.nasdaq.com/symbol/aptv",
"APTV^A","Aptiv PLC","112.82","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/aptv^a",
"ARMK","Aramark","27.14","$6.87B","2013","Consumer Services","Restaurants","https://old.nasdaq.com/symbol/armk",
"ABR","Arbor Realty Trust","11.88","$1.33B","2004","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/abr",
"ABR^A","Arbor Realty Trust","25.22","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/abr^a",
"ABR^B","Arbor Realty Trust","25.085","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/abr^b",
"ABR^C","Arbor Realty Trust","25.595","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/abr^c",
"ARC","ARC Document Solutions, Inc.","0.9","$39.46M","2004","Consumer Services","Professional Services","https://old.nasdaq.com/symbol/arc",
"MT","ArcelorMittal","13.37","$14.61B","n/a","Basic Industries","Steel/Iron Ore","https://old.nasdaq.com/symbol/mt",
"MTCN","ArcelorMittal","33.89","n/a","2020","Basic Industries","Steel/Iron Ore","https://old.nasdaq.com/symbol/mtcn",
"ARCH","Arch Resources, Inc.","46.65","$706.57M","2016","Energy","Coal Mining","https://old.nasdaq.com/symbol/arch",
"ADM","Archer-Daniels-Midland Company","46.5","$25.84B","n/a","Consumer Non-Durables","Packaged Foods","https://old.nasdaq.com/symbol/adm",
"AROC","Archrock, Inc.","5.67","$867.22M","n/a","Public Utilities","Natural Gas Distribution","https://old.nasdaq.com/symbol/aroc",
"ARNC","Arconic Corporation","20.06","$2.19B","2020","n/a","n/a","https://old.nasdaq.com/symbol/arnc",
"ARCO","Arcos Dorados Holdings Inc.","4.15","$860.14M","2011","Consumer Services","Restaurants","https://old.nasdaq.com/symbol/arco",
