limit_bal,education,marriage,age,bill_amt,pay_amt,default
80000,secondary,no,38,347463,38202,0
50000,secondary,no,24,195884,27869,0
30000,primary,no,24,29968,32223,0
210000,primary,no,26,4980,19133,0
150000,secondary,yes,42,23222,23897,1
20000,secondary,no,21,40984,3573,0
20000,post-grad,no,22,36596,1000,1
240000,post-grad,yes,41,10237,6157,0
500000,secondary,yes,50,204688,208169,0
90000,secondary,yes,23,93139,22200,1
50000,post-grad,no,46,159414,7405,0
50000,secondary,no,22,240857,9527,1
680000,primary,no,37,246485,172900,0
50000,primary,yes,47,294706,13000,0
100000,secondary,yes,40,2282,2282,0
280000,primary,no,30,1835889,61124,0
30000,secondary,no,54,130988,8798,1
50000,secondary,no,27,105677,55146,1
60000,primary,yes,33,46941,46198,0
120000,secondary,yes,57,625748,26013,1
80000,secondary,yes,35,27317,24427,0
500000,primary,yes,45,317,967,0
70000,post-grad,yes,32,80396,21573,0
160000,secondary,yes,45,1468,1468,0
100000,post-grad,yes,50,516608,114500,1
10000,post-grad,no,35,54902,5920,0
90000,primary,no,26,41743,34294,0
170000,primary,yes,39,500638,23900,1
90000,secondary,no,35,5334,2667,0
180000,post-grad,no,42,458222,103100,0
350000,primary,yes,52,14400,0,1
270000,secondary,no,35,690621,49548,0
200000,primary,no,29,139400,32603,1
20000,primary,no,22,96635,10433,0
100000,secondary,no,30,273688,14000,0
290000,primary,yes,46,822000,128498,0
70000,post-grad,no,28,409504,13242,0
230000,primary,no,26,2601,2230,0
180000,primary,no,28,39315,52657,0
210000,primary,no,33,1896,1896,0
50000,primary,no,24,202417,5556,0
150000,primary,no,37,289241,15046,0
380000,secondary,yes,50,1422333,374138,1
50000,secondary,yes,44,202117,6856,0
150000,post-grad,yes,43,3890,2730,1
220000,secondary,no,29,716976,31225,0
80000,other,no,27,281004,10800,0
220000,secondary,yes,32,1234593,50710,0
70000,secondary,no,34,163102,10900,0
120000,secondary,no,37,107268,7000,1
180000,secondary,no,32,159763,35582,0
50000,post-grad,yes,57,293618,12046,0
10000,secondary,no,46,54202,6396,0
370000,primary,yes,53,111919,81338,0
20000,primary,no,26,21116,3022,0
150000,secondary,yes,34,831322,32360,0
20000,primary,no,26,3062,2646,1
480000,secondary,yes,54,26304,11433,0
50000,post-grad,no,26,173316,13000,0
170000,secondary,no,31,163344,9987,0
400000,secondary,no,30,6602,7402,0
200000,primary,no,31,274875,27488,0
360000,primary,no,34,150,209,0
140000,other,no,36,508806,117682,0
260000,post-grad,yes,34,26436,6897,0
440000,secondary,no,26,413590,16600,0
500000,secondary,yes,43,74974,73024,0
230000,secondary,yes,29,263245,81000,0
470000,secondary,yes,41,101111,98940,0
20000,post-grad,yes,48,76309,4100,1
210000,secondary,no,24,618722,23403,0
20000,primary,no,23,65633,21468,0
20000,post-grad,yes,53,85552,6910,0
200000,secondary,yes,34,49107,53394,0
250000,secondary,no,36,76549,66961,1
300000,secondary,no,41,92893,29659,0
320000,primary,no,30,545966,41657,0
50000,secondary,no,29,232531,9300,0
200000,secondary,yes,34,25219,24925,0
80000,primary,no,29,114881,6552,1
70000,secondary,yes,37,41346,14204,1
60000,post-grad,no,36,273442,10141,0
10000,post-grad,no,22,55964,4415,1
50000,post-grad,no,30,230040,10800,0
140000,secondary,no,26,736617,33456,1
30000,secondary,no,25,53962,5000,0
190000,secondary,yes,49,314640,174202,0
70000,primary,no,23,11100,20369,0
330000,secondary,yes,28,2420,2250,0
110000,secondary,no,24,57727,10891,0
270000,post-grad,yes,47,1046358,33704,0
160000,secondary,yes,31,176707,12500,1
20000,secondary,no,24,93908,20287,0
320000,secondary,no,32,151561,14500,0
430000,primary,no,31,174377,37310,0
50000,primary,yes,37,39784,14574,0
140000,secondary,yes,48,16090,7782,1
500000,secondary,yes,49,143759,183209,0
80000,post-grad,yes,45,163756,14355,0
390000,primary,yes,34,1266,1266,0
250000,primary,yes,43,97475,99745,0
390000,primary,no,31,98063,120831,0
100000,primary,yes,35,368125,17634,0
360000,primary,yes,42,1159365,92224,0
140000,primary,no,36,42996,24079,0
110000,secondary,yes,51,293596,13000,0
170000,post-grad,yes,48,2362,1730,0
170000,secondary,yes,48,780148,29396,0
180000,secondary,no,25,42456,5258,0
140000,secondary,yes,41,673114,28900,0
20000,secondary,yes,49,86057,23500,0
150000,primary,no,28,0,0,0
50000,secondary,no,28,186690,4918,0
160000,secondary,yes,38,0,0,1
80000,secondary,yes,41,10545,7392,0
300000,post-grad,no,29,32918,33220,1
60000,post-grad,no,32,203400,8047,0
70000,secondary,no,26,273902,12400,1
290000,primary,no,31,135708,74985,0
80000,primary,no,23,13543,1600,0
50000,post-grad,yes,53,0,0,1
200000,post-grad,no,49,145497,96396,0
200000,primary,yes,34,24523,32284,0
50000,primary,no,22,12484,15663,1
20000,secondary,no,26,48863,14685,0
200000,primary,yes,38,35688,32523,1
120000,primary,no,35,474800,19970,0
220000,secondary,yes,49,994377,39061,0
630000,primary,no,40,2343148,89038,0
300000,primary,no,34,51445,39715,0
10000,secondary,no,49,27269,1000,1
50000,secondary,no,29,0,0,0
280000,primary,yes,39,17468,5855,1
130000,primary,no,30,30389,2697,0
30000,post-grad,yes,28,104963,6853,0
50000,secondary,yes,27,36652,12881,0
70000,post-grad,yes,38,118613,7807,0
80000,secondary,no,29,266480,12500,0
20000,secondary,yes,22,84620,4607,1
390000,primary,yes,41,1554863,45000,0
470000,secondary,no,32,640234,68005,0
240000,secondary,no,30,17181,9612,0
140000,primary,no,29,17831,2888,0
260000,secondary,yes,37,1241054,47348,1
150000,primary,no,25,12746,14451,0
120000,primary,yes,46,107199,7600,0
20000,secondary,yes,47,112444,6859,0
260000,other,no,42,3277,3542,0
50000,post-grad,no,22,126525,5600,1
180000,secondary,no,27,762865,24275,0
310000,other,yes,35,10350,0,0
360000,secondary,yes,44,52110,59893,0
180000,secondary,no,30,110364,36661,0
270000,primary,yes,42,6000,0,0
70000,primary,no,28,278572,26959,0
50000,secondary,no,24,34143,52693,0
30000,post-grad,no,50,13924,7092,0
50000,secondary,yes,54,35528,6595,0
350000,secondary,yes,37,18576,18688,0
200000,primary,yes,58,891380,30657,0
80000,post-grad,no,26,446630,15808,0
60000,secondary,yes,31,324144,19600,0
30000,primary,yes,52,109602,6600,0
110000,primary,no,36,426611,15600,0
300000,primary,no,27,467910,322860,0
50000,post-grad,yes,22,98276,31190,0
500000,primary,no,39,51271,50938,0
360000,primary,no,36,836573,491000,0
20000,secondary,yes,39,44497,5100,0
220000,primary,yes,39,754383,129000,0
20000,secondary,no,22,90520,8200,0
60000,secondary,yes,37,182043,7766,1
170000,primary,no,30,152322,154973,0
200000,secondary,yes,26,231962,10903,0
20000,primary,no,23,104960,7738,0
140000,post-grad,no,23,224756,10695,0
330000,primary,no,35,34078,32415,0
180000,secondary,no,24,638265,19978,1
360000,secondary,yes,35,14435,7033,0
20000,post-grad,yes,51,100133,5096,0
50000,primary,no,23,114472,6005,0
100000,secondary,yes,25,122524,21000,0
30000,secondary,yes,36,174939,5046,0
70000,secondary,yes,44,52318,9500,1
470000,primary,no,33,25933,228085,0
300000,primary,yes,36,8250,27,0
300000,primary,yes,45,76379,33703,1
200000,primary,no,26,16578,15526,0
150000,secondary,yes,41,477756,27128,0
220000,secondary,no,25,858002,32820,1
420000,primary,no,31,11407,10180,0
210000,secondary,no,45,4181,4130,0
450000,post-grad,yes,58,32252,26094,0
30000,secondary,yes,38,5361,9177,0
240000,secondary,yes,30,47954,46459,0
420000,secondary,no,25,600621,119321,0
60000,primary,no,25,294412,15100,0
30000,post-grad,no,24,34116,29396,0
80000,primary,no,29,6032,1521,0
50000,secondary,no,37,291846,11506,0
230000,post-grad,no,27,79376,60376,0
200000,primary,no,31,177106,87908,0
230000,secondary,no,28,142559,41000,0
130000,secondary,no,24,449420,15147,0
200000,post-grad,no,27,0,0,0
90000,primary,no,33,241910,14181,0
120000,primary,no,27,24175,17676,0
200000,primary,no,42,8585,8629,0
20000,secondary,no,32,108804,4733,0
210000,primary,yes,37,478405,20100,1
80000,secondary,no,44,385548,31691,0
50000,primary,yes,29,178164,8892,0
70000,secondary,yes,42,319398,13100,1
230000,secondary,no,32,1105736,34500,1
20000,secondary,no,52,96770,4000,0
30000,secondary,no,44,47733,6347,0
100000,primary,no,31,210090,7511,1
80000,primary,no,29,479818,32254,1
210000,secondary,no,33,1182014,48861,0
50000,secondary,no,54,205081,6600,0
130000,secondary,no,23,604567,20390,0
70000,primary,no,24,315604,13800,0
210000,primary,yes,33,81250,6508,0
100000,post-grad,yes,44,2340,1950,1
200000,post-grad,no,51,25756,27613,0
40000,primary,no,24,180720,6564,1
80000,secondary,no,25,431098,17000,0
210000,primary,yes,37,2174,2174,1
20000,secondary,no,23,42446,31665,0
10000,post-grad,no,34,56615,4806,0
60000,post-grad,yes,50,262350,32189,1
40000,secondary,yes,25,78401,5818,0
290000,primary,no,33,7456,7043,1
50000,secondary,yes,54,7666,6083,0
20000,secondary,no,25,93457,7400,0
30000,secondary,no,26,193262,8164,0
20000,secondary,yes,32,114070,6102,0
50000,post-grad,no,43,138756,6800,0
500000,secondary,yes,42,22033,12068,1
90000,post-grad,no,24,19548,19045,1
10000,secondary,no,26,63469,5273,0
50000,secondary,yes,37,6300,0,1
120000,primary,no,36,169802,11000,0
200000,primary,no,27,906230,34936,0
300000,secondary,yes,50,454087,147846,0
90000,secondary,no,24,157209,25600,0
90000,secondary,yes,27,368147,10148,0
140000,primary,no,23,0,0,1
180000,secondary,yes,39,1969,2235,0
360000,primary,yes,39,4321,5272,0
160000,post-grad,no,29,6715,6715,1
100000,primary,yes,45,104805,16640,0
20000,secondary,no,21,80474,5000,1
360000,primary,yes,36,605488,194990,0
230000,secondary,no,39,1956,2282,0
110000,post-grad,no,29,638114,27735,1
210000,secondary,no,37,802799,136799,0
200000,secondary,no,26,63019,24624,0
50000,secondary,no,44,81778,3593,0
210000,primary,no,30,49525,49525,1
280000,primary,no,31,15003,15326,0
500000,secondary,yes,40,515821,201253,0
30000,primary,no,25,20762,2219,0
340000,secondary,yes,36,807719,27842,0
360000,primary,no,32,16908,19493,0
70000,primary,no,22,254382,9580,0
20000,secondary,no,44,13800,0,1
230000,primary,no,32,245951,55120,0
60000,secondary,yes,41,160535,17841,0
50000,primary,no,28,287533,10121,1
50000,primary,no,29,78320,5500,1
130000,other,no,28,225921,16500,0
160000,post-grad,no,52,672687,22911,0
60000,post-grad,no,48,237234,9500,0
160000,secondary,no,43,52773,23325,0
180000,primary,no,25,218114,112601,0
170000,secondary,yes,36,267703,175869,0
360000,secondary,no,35,1857066,64256,1
130000,secondary,yes,34,353556,13290,0
180000,secondary,no,48,22253,20195,0
20000,primary,no,27,34305,30331,0
230000,secondary,yes,43,60603,17749,0
220000,secondary,yes,30,0,0,0
240000,secondary,yes,43,0,0,0
50000,post-grad,yes,54,182296,23567,0
310000,secondary,yes,39,51932,16900,0
350000,primary,yes,70,376178,12640,0
50000,primary,no,24,3601,3300,0
200000,secondary,yes,30,233477,79231,0
480000,post-grad,no,53,2840903,95482,0
180000,primary,yes,27,382631,10892,1
200000,secondary,no,33,1027708,37750,0
20000,post-grad,yes,34,105967,6269,0
50000,secondary,no,48,199191,25568,0
210000,post-grad,no,33,8685,10643,1
20000,secondary,no,24,112826,5422,0
150000,secondary,yes,31,25584,19239,0
50000,secondary,no,25,218345,48420,0
190000,post-grad,yes,49,1093209,42600,1
290000,primary,no,27,1548188,71201,0
420000,secondary,yes,39,786789,30000,0
340000,secondary,no,36,756423,38181,0
60000,secondary,no,40,61554,2000,0
90000,primary,no,27,402520,16200,0
30000,primary,no,27,189578,8626,1
160000,secondary,yes,37,3176,3123,0
20000,secondary,no,35,77739,4582,0
90000,secondary,yes,25,469922,18800,1
120000,primary,no,27,119620,6900,0
120000,primary,no,38,-6594,0,0
360000,secondary,yes,50,8705,8562,0
160000,primary,no,32,19474,2555,0
320000,primary,yes,34,140132,72847,0
20000,secondary,no,25,118792,7033,0
230000,primary,no,29,397480,15500,0
50000,post-grad,yes,44,105650,8009,0
50000,post-grad,yes,48,145403,39300,0
40000,post-grad,no,24,58519,27018,0
120000,post-grad,yes,27,2820,2790,0
130000,secondary,no,25,5718,17095,1
110000,post-grad,no,28,497208,19312,0
20000,secondary,no,22,55461,6130,1
50000,post-grad,no,22,0,0,0
120000,post-grad,yes,30,706086,26000,0
50000,post-grad,no,34,101775,2400,0
360000,secondary,no,34,700,700,1
240000,secondary,yes,44,24014,23659,1
150000,primary,no,32,88492,42229,0
50000,secondary,no,23,183121,12725,0
500000,primary,no,42,40478,15844,1
110000,secondary,yes,33,681047,27600,0
170000,secondary,yes,48,599714,27584,1
230000,secondary,yes,29,197038,17113,0
20000,post-grad,no,47,69551,5402,0
100000,primary,yes,41,18149,18149,0
110000,primary,no,28,256464,10693,0
340000,primary,yes,52,174329,173753,1
50000,primary,no,37,202199,7839,0
310000,primary,yes,50,13851,13851,0
50000,post-grad,yes,31,242473,9334,1
240000,post-grad,yes,38,674599,26354,1
50000,secondary,yes,48,83034,5921,0
150000,primary,no,34,23831,13206,0
140000,secondary,no,44,640703,23477,0
30000,post-grad,yes,56,140844,12906,0
300000,primary,yes,30,481200,103500,1
50000,primary,no,29,18479,5186,0
280000,secondary,yes,37,205053,17369,0
120000,secondary,no,23,592912,22238,0
30000,primary,yes,27,11746,9703,0
30000,secondary,no,23,55767,28207,1
180000,post-grad,yes,45,138511,7000,0
150000,secondary,yes,33,72393,7701,0
110000,secondary,yes,40,322915,13170,0
50000,primary,no,24,214691,19554,1
230000,post-grad,yes,43,12947,12947,0
230000,secondary,no,25,547619,22114,0
160000,primary,no,46,15029,8805,0
50000,post-grad,no,36,208055,6030,0
210000,primary,yes,36,11980,11980,0
120000,secondary,yes,38,16850,13570,0
240000,secondary,yes,42,262213,88330,0
20000,post-grad,no,47,113370,6100,0
50000,post-grad,no,40,44930,4469,0
50000,primary,no,70,201276,4882,0
50000,secondary,yes,32,154742,7967,0
100000,post-grad,no,52,176482,6498,0
390000,primary,yes,49,128383,152625,0
550000,primary,no,31,204895,7800,0
450000,secondary,no,36,34483,21062,0
80000,secondary,yes,50,203233,60317,0
50000,post-grad,yes,48,46776,10000,0
50000,secondary,no,33,238458,6314,0
180000,secondary,yes,44,427822,24595,0
240000,primary,no,35,88748,61111,0
320000,post-grad,no,29,3900,3400,0
480000,secondary,yes,35,761249,254083,0
150000,secondary,yes,37,12004,10046,0
110000,primary,no,29,613087,38445,0
240000,primary,no,30,56204,39252,0
50000,primary,no,33,171532,5902,1
120000,secondary,no,27,14376,11902,0
150000,primary,yes,31,0,0,0
100000,post-grad,no,53,341327,39325,0
260000,secondary,no,38,3380,3386,0
250000,secondary,no,26,47654,14346,0
100000,secondary,no,26,26322,18708,0
160000,primary,yes,51,487064,20000,1
270000,primary,yes,37,65119,65808,1
390000,secondary,no,42,107665,44249,0
210000,secondary,yes,43,506492,25500,0
30000,secondary,no,23,137030,16151,0
300000,post-grad,yes,30,75608,52714,0
190000,post-grad,yes,38,555239,65797,0
130000,primary,yes,35,7311,963,1
360000,secondary,yes,44,997521,28600,0
320000,primary,yes,35,6449,9282,1
20000,secondary,no,35,0,0,1
360000,primary,yes,32,13244,2535,0
190000,secondary,no,25,640401,184219,0
90000,secondary,no,33,223265,72000,1
30000,primary,no,26,22496,19983,0
240000,primary,no,29,1211070,51100,0
40000,primary,no,26,88689,6900,0
170000,secondary,no,36,73285,71394,0
180000,primary,no,37,192795,19800,0
20000,post-grad,yes,63,101254,4272,1
150000,post-grad,yes,48,244964,12000,0
50000,secondary,yes,47,105873,4452,1
140000,post-grad,yes,31,559243,18400,0
50000,post-grad,no,31,184570,8912,0
200000,primary,no,34,535281,42750,0
100000,primary,yes,43,120387,128067,0
250000,primary,no,32,100294,9951,0
80000,primary,no,38,7730,10865,0
170000,secondary,yes,50,694973,58829,0
80000,post-grad,no,29,294060,11171,0
50000,secondary,yes,49,247921,10204,0
30000,post-grad,no,40,147026,9074,0
70000,primary,no,34,316713,6445,1
30000,post-grad,yes,47,9276,8654,0
200000,primary,yes,34,12303,8720,0
100000,secondary,no,27,12840,1303,0
20000,secondary,no,44,101209,4266,1
200000,primary,no,29,2290,0,0
50000,post-grad,yes,72,230589,9914,1
50000,secondary,yes,48,178403,15830,1
50000,primary,no,27,235112,14000,1
220000,secondary,yes,44,1050325,96000,0
240000,post-grad,yes,39,1854,1854,0
50000,primary,yes,40,111376,7100,0
500000,primary,yes,45,65298,121000,0
170000,primary,no,26,40128,18019,0
30000,primary,yes,34,2720,2500,0
300000,primary,yes,43,0,0,1
50000,secondary,no,30,188290,11220,0
100000,post-grad,yes,31,20249,10671,0
150000,primary,no,29,461271,23000,1
50000,primary,no,28,258529,10008,0
190000,secondary,no,31,11754,22289,0
20000,post-grad,no,22,30157,3488,0
50000,post-grad,yes,55,291869,11705,0
30000,secondary,yes,39,1790,12040,1
90000,primary,no,27,5667,13000,0
500000,primary,no,36,3218,20193,1
280000,primary,yes,40,47235,43889,0
30000,secondary,yes,31,22791,4732,0
90000,secondary,yes,36,308513,11850,0
200000,secondary,yes,42,152469,5307,1
100000,secondary,no,30,3840,3231,0
20000,post-grad,no,40,93198,6857,0
50000,secondary,yes,51,196682,17536,0
50000,secondary,no,51,19186,5381,0
290000,post-grad,no,32,41357,196122,0
220000,primary,no,36,1794,3103,0
440000,primary,yes,37,34077,33842,0
50000,secondary,no,49,567877,24271,1
300000,primary,no,31,51016,10627,0
290000,primary,yes,50,658919,42009,0
390000,secondary,yes,40,1654600,71686,0
50000,secondary,no,24,169363,7290,0
220000,secondary,no,31,149445,110699,1
150000,secondary,no,29,14867,5370,0
50000,primary,no,24,342616,15352,0
200000,primary,yes,44,667,0,0
120000,secondary,no,30,91576,9570,0
230000,primary,yes,61,8658,8658,0
180000,secondary,yes,28,620571,29600,0
20000,primary,no,22,109641,7400,0
20000,secondary,no,23,120548,12254,0
50000,post-grad,yes,46,26273,0,1
290000,primary,no,24,243644,144955,0
290000,secondary,no,54,2633,3889,0
150000,primary,no,27,1830,1830,0
190000,secondary,no,53,843157,31400,0
80000,secondary,no,25,516777,39593,1
250000,post-grad,yes,47,14972,14204,0
20000,secondary,yes,35,118624,6400,1
180000,post-grad,yes,45,2376,2376,0
80000,primary,no,25,7785,5347,0
300000,primary,no,31,59397,51663,0
50000,post-grad,yes,51,111668,46100,0
70000,primary,yes,40,210412,6924,0
150000,primary,no,30,186266,64820,1
320000,primary,no,29,399226,210400,0
60000,primary,no,24,251449,8974,0
20000,post-grad,no,32,55379,16400,1
230000,primary,no,35,724229,23600,0
310000,secondary,yes,29,459128,94529,0
230000,primary,no,36,24830,9046,0
200000,primary,yes,40,54761,62292,0
100000,primary,no,30,258279,29782,1
310000,secondary,yes,64,30132,18088,0
180000,post-grad,yes,33,992106,37000,1
390000,primary,yes,38,861673,37027,0
20000,primary,no,26,1618,3687,0
50000,secondary,yes,26,189775,7371,0
140000,primary,no,29,837403,25528,0
170000,primary,no,37,19708,19756,1
250000,secondary,yes,45,179117,7800,0
50000,post-grad,yes,40,159227,3850,1
250000,primary,no,36,812300,30865,0
90000,primary,no,27,377943,21000,0
90000,secondary,yes,44,414880,15610,1
160000,primary,no,27,41335,39927,0
360000,secondary,no,29,704061,60197,0
330000,primary,no,26,222980,30085,0
50000,post-grad,yes,54,334216,9345,0
60000,secondary,yes,42,193511,35000,1
10000,post-grad,no,42,12124,2835,0
70000,secondary,yes,41,216483,9500,0
150000,primary,yes,31,4385,5808,1
250000,secondary,no,33,451548,103175,1
130000,post-grad,yes,33,496353,14482,0
130000,primary,no,27,221199,8646,0
100000,secondary,yes,36,7731,8171,0
130000,secondary,no,37,234096,5000,0
80000,secondary,no,29,425694,16670,1
380000,primary,no,41,2075877,78200,0
20000,secondary,no,23,95310,5098,1
20000,secondary,no,25,102346,41742,0
140000,primary,yes,54,667637,151593,1
180000,primary,no,33,13759,16188,0
230000,primary,no,29,8219,8440,0
90000,primary,no,32,38189,28828,0
160000,secondary,no,29,42318,42163,0
50000,primary,no,22,178198,7300,0
140000,secondary,no,29,1890,945,0
250000,secondary,yes,31,294524,75601,0
120000,secondary,no,24,49465,50865,0
120000,primary,no,27,500253,18582,0
260000,secondary,yes,40,918047,41363,0
10000,secondary,no,38,6300,0,1
60000,secondary,yes,38,129497,147134,0
60000,secondary,yes,29,227153,52195,0
50000,secondary,no,27,115206,5369,0
130000,post-grad,yes,34,42795,5419,0
130000,primary,no,34,133211,5002,0
360000,primary,no,32,0,0,0
80000,secondary,yes,36,137110,7889,0
50000,secondary,no,26,0,0,0
290000,primary,yes,33,58341,55402,0
200000,primary,yes,53,196050,1000,0
20000,secondary,no,27,76832,5044,0
500000,primary,no,33,29876,32033,0
130000,primary,no,26,137662,7500,0
30000,primary,no,27,154236,10471,1
20000,primary,no,24,57824,5400,1
70000,secondary,no,26,75645,12500,0
200000,primary,no,27,36457,35411,0
50000,secondary,yes,46,17952,17731,1
360000,secondary,yes,56,9363,9247,0
50000,post-grad,yes,56,184976,9728,0
180000,post-grad,yes,26,52256,10000,0
50000,secondary,no,25,47446,3500,1
120000,primary,no,28,4858,5454,0
80000,secondary,yes,37,103704,6800,1
330000,primary,yes,47,43089,44731,0
40000,post-grad,yes,43,232902,9099,1
50000,secondary,no,26,105442,9179,0
80000,post-grad,yes,48,281930,10187,0
450000,primary,yes,41,1655,969,0
30000,post-grad,yes,48,160875,9800,0
160000,secondary,yes,28,398667,14425,0
80000,primary,no,22,36858,15495,0
400000,secondary,yes,34,341095,22902,0
220000,secondary,yes,60,30479,29108,1
40000,secondary,yes,25,147783,8500,1
280000,secondary,no,27,654028,91291,0
50000,primary,no,25,89092,4000,0
110000,secondary,no,26,406275,26032,0
180000,primary,yes,44,69007,93206,0
200000,primary,no,26,102255,22002,0
390000,primary,no,33,413644,19524,0
400000,primary,no,29,48328,14570,0
120000,post-grad,no,37,5496,5496,1
200000,primary,no,34,-38807,0,0
280000,secondary,yes,33,1146814,50800,0
230000,primary,no,27,509457,20366,0
280000,primary,yes,36,128475,113998,0
130000,post-grad,no,28,797031,38400,0
160000,secondary,yes,35,4656,4656,1
120000,post-grad,yes,47,4026,4026,0
300000,post-grad,yes,31,1522,1196,0
20000,primary,no,31,9969,11062,0
450000,primary,no,31,28202,22729,1
250000,secondary,yes,30,206404,260554,0
100000,secondary,yes,58,599689,30587,0
150000,secondary,no,27,151975,9223,0
140000,secondary,no,35,428064,15144,0
500000,primary,no,46,409402,456026,0
20000,secondary,no,36,33588,9156,0
50000,secondary,no,53,118709,5442,0
100000,secondary,no,39,550879,35500,1
200000,secondary,no,27,946902,32309,0
150000,secondary,no,37,482975,24500,0
80000,primary,no,23,287206,10594,0
160000,primary,yes,40,14716,17913,0
180000,secondary,yes,44,8723,8692,0
270000,primary,yes,32,334037,365252,0
180000,primary,no,41,93022,29516,0
120000,primary,yes,54,4368,3588,1
110000,primary,no,29,217363,14010,0
50000,post-grad,yes,61,74700,17675,0
200000,post-grad,no,30,930057,81295,0
70000,post-grad,yes,23,38322,43162,0
360000,secondary,no,30,229200,205150,0
260000,secondary,yes,35,2238303,57110,1
50000,post-grad,yes,32,163175,7755,0
380000,secondary,yes,39,232475,100479,0
50000,secondary,no,24,-16958,0,0
20000,post-grad,yes,38,41265,2560,1
270000,other,no,32,229061,329696,0
460000,primary,no,32,2281159,95000,0
60000,post-grad,no,24,264673,12422,0
200000,primary,yes,35,65398,39735,0
50000,secondary,no,37,97042,8600,1
20000,primary,no,22,84223,7914,0
290000,secondary,yes,40,1011001,33334,1
110000,secondary,no,36,525474,30947,0
160000,post-grad,yes,51,881982,29410,1
70000,secondary,yes,31,262649,8931,0
200000,primary,no,39,2330,2330,1
80000,secondary,no,40,387691,14800,0
20000,primary,no,41,114119,40846,1
210000,primary,no,48,570,570,0
180000,post-grad,yes,39,244538,3450,1
50000,secondary,no,53,126369,7800,0
30000,secondary,no,26,182096,4632,1
150000,primary,no,30,4635,15762,0
150000,primary,no,28,-1059,0,1
260000,primary,yes,43,11630,11700,0
310000,primary,no,30,1621939,93427,0
150000,primary,no,33,430684,16000,0
200000,primary,no,27,69132,61049,0
150000,post-grad,no,45,497688,18498,0
220000,secondary,yes,54,11427,3158,0
540000,primary,no,34,6460,5676,0
280000,secondary,no,30,1113893,34157,0
230000,secondary,no,32,237082,7037,0
50000,primary,yes,39,223634,11567,0
20000,secondary,no,24,6567,8567,0
10000,secondary,no,35,45370,700,1
500000,primary,yes,46,2370194,86069,0
50000,secondary,no,24,186675,7426,0
420000,secondary,no,35,69529,68001,0
50000,secondary,no,23,151475,39312,0
280000,primary,no,29,2459,2459,0
50000,secondary,yes,46,13370,6364,0
160000,post-grad,yes,41,287499,10100,1
40000,secondary,yes,23,212924,9100,1
100000,secondary,yes,31,192570,10739,0
50000,primary,no,26,259280,11504,0
130000,post-grad,no,32,561687,134086,0
30000,secondary,no,22,127236,4000,0
140000,secondary,yes,34,2852,3282,1
210000,secondary,yes,32,872531,139392,0
50000,secondary,yes,38,189399,6856,0
310000,secondary,yes,29,342050,60933,0
300000,primary,yes,31,26727,18247,0
30000,secondary,no,47,104087,4800,1
90000,post-grad,yes,40,392403,15356,0
150000,secondary,yes,34,256092,12000,1
90000,primary,no,25,185551,14000,0
80000,post-grad,no,65,309434,9629,0
100000,primary,no,28,4265,5550,1
10000,secondary,no,33,0,0,0
210000,primary,no,31,1015035,65000,0
170000,secondary,yes,41,62923,43305,0
90000,secondary,yes,32,525170,16724,0
210000,post-grad,no,36,10782,10782,1
50000,primary,no,26,197568,45009,0
150000,primary,yes,30,78300,79530,0
80000,primary,no,30,2193,2196,0
130000,primary,yes,38,131717,4000,1
100000,secondary,no,30,557322,40000,1
160000,primary,yes,41,116906,10405,0
250000,secondary,no,31,98470,5324,0
500000,secondary,yes,42,445561,244900,0
260000,secondary,no,32,533826,47410,0
50000,secondary,yes,44,3033,2340,0
30000,secondary,no,22,117562,3760,0
110000,secondary,no,42,301263,10050,0
500000,primary,yes,39,46034,48817,0
310000,primary,no,32,241384,20000,0
580000,secondary,yes,37,606089,344888,0
340000,primary,yes,36,1424048,193445,0
360000,secondary,yes,42,62464,46091,0
290000,primary,no,29,20110,26563,0
30000,secondary,no,36,135220,7800,0
80000,primary,no,29,136968,7700,0
360000,primary,yes,38,2340,1950,1
170000,primary,no,31,31976,33896,0
100000,secondary,yes,42,352618,15681,0
450000,secondary,no,37,531633,23563,0
260000,primary,no,33,2394,3204,0
240000,primary,no,29,81785,15341,0
110000,secondary,no,28,6810,2000,0
240000,secondary,no,26,1020682,41304,0
220000,secondary,no,35,164044,8045,0
20000,secondary,yes,33,6502,3354,0
100000,primary,yes,51,1230,930,1
300000,primary,no,32,1734,1734,0
20000,secondary,no,33,60859,15054,1
360000,primary,no,30,869960,31318,0
220000,primary,no,28,1202860,42700,1
470000,secondary,no,26,1030220,37398,0
70000,secondary,no,22,157384,12191,0
120000,primary,no,26,92752,24000,0
50000,secondary,no,35,126266,7703,0
470000,secondary,yes,49,896687,31526,0
130000,secondary,yes,49,68359,22322,0
20000,primary,no,24,4367,3120,1
260000,primary,no,36,11012,11925,0
20000,primary,yes,39,3778,4700,0
300000,primary,no,28,3642,3750,1
460000,secondary,no,35,2541564,92540,0
20000,primary,no,24,23297,23387,1
360000,secondary,no,27,1511106,56920,1
290000,primary,yes,40,536183,26991,0
90000,primary,yes,30,219770,32838,0
180000,primary,no,26,16774,15212,0
360000,post-grad,yes,53,0,0,0
120000,primary,yes,45,137289,6225,0
220000,secondary,no,30,770648,132210,0
220000,primary,no,34,888651,61858,1
10000,primary,no,27,499,0,1
320000,secondary,no,31,600481,33180,0
320000,primary,yes,33,929265,185000,0
